Dailies AcquaComfort Plus;Alcon;10;8
Dailies AcquaComfort Plus;Alcon;3;7.5
Dailies AcquaComfort Plus;Alcon;10;7
Dailies AcquaComfort Plus;Alcon;3;6.5
Dailies AcquaComfort Plus;Alcon;10;6
Dailies AcquaComfort Plus;Alcon;3;5.5
Dailies AcquaComfort Plus;Alcon;15;5
Dailies AcquaComfort Plus;Alcon;5;4.5
Dailies AcquaComfort Plus;Alcon;25;4
Dailies AcquaComfort Plus;Alcon;20;3.5
Dailies AcquaComfort Plus;Alcon;22;3
Dailies AcquaComfort Plus;Alcon;15;2.5
Dailies AcquaComfort Plus;Alcon;42;2
Dailies AcquaComfort Plus;Alcon;21;1.5
Dailies AcquaComfort Plus;Alcon;41;1
Dailies AcquaComfort Plus;Alcon;5;0.5
Dailies AcquaComfort Plus;Alcon;2;0
Dailies AcquaComfort Plus;Alcon;32;-0.5
Dailies AcquaComfort Plus;Alcon;6;-1
Dailies AcquaComfort Plus;Alcon;10;-1.5
Dailies AcquaComfort Plus;Alcon;28;-2
Dailies AcquaComfort Plus;Alcon;18;-2.5
Dailies AcquaComfort Plus;Alcon;39;-3
Dailies AcquaComfort Plus;Alcon;17;-3.5
Dailies AcquaComfort Plus;Alcon;25;-4
Dailies AcquaComfort Plus;Alcon;2;-4.5
Dailies AcquaComfort Plus;Alcon;41;-5
Dailies AcquaComfort Plus;Alcon;17;-5.5
Dailies AcquaComfort Plus;Alcon;28;-6;
Dailies AcquaComfort Plus;Alcon;35;-6.5;
Dailies AcquaComfort Plus;Alcon;26;-7;
Dailies AcquaComfort Plus;Alcon;24;-7.5;
Dailies AcquaComfort Plus;Alcon;25;-8
Dailies Total 1;Alcon;2;8;Q;6;8.5
Dailies Total 1;Alcon;29;7.5
Dailies Total 1;Alcon;2;7
Dailies Total 1;Alcon;12;6.5
Dailies Total 1;Alcon;21;6
Dailies Total 1;Alcon;32;5.5
Dailies Total 1;Alcon;11;5
Dailies Total 1;Alcon;22;4.5
Dailies Total 1;Alcon;35;4
Dailies Total 1;Alcon;26;3.5
Dailies Total 1;Alcon;14;3
Dailies Total 1;Alcon;21;2.5
Dailies Total 1;Alcon;15;2
Dailies Total 1;Alcon;12;1.5
Dailies Total 1;Alcon;12;1
Dailies Total 1;Alcon;21;0.5
Dailies Total 1;Alcon;32;0
Dailies Total 1;Alcon;15;-0.5
Dailies Total 1;Alcon;54;-1
Dailies Total 1;Alcon;23;-1.5
Dailies Total 1;Alcon;12;-2
Dailies Total 1;Alcon;25;-2.5
Dailies Total 1;Alcon;36;-3
Dailies Total 1;Alcon;51;-3.5
Dailies Total 1;Alcon;14;-4
Dailies Total 1;Alcon;32;-4.5
Dailies Total 1;Alcon;5;-5
Dailies Total 1;Alcon;36;-5.5
Dailies Total 1;Alcon;21;-6
Dailies Total 1;Alcon;18;-6.5
Dailies Total 1;Alcon;28;-7
Dailies Total 1;Alcon;27;-7.5
Dailies Total 1;Alcon;27;-8
1-Day Acuvue TrueEye;Acuvue;27;8
1-Day Acuvue TrueEye;Acuvue;27;7.5
1-Day Acuvue TrueEye;Acuvue;27;7
1-Day Acuvue TrueEye;Acuvue;28;6.5
1-Day Acuvue TrueEye;Acuvue;28;6
1-Day Acuvue TrueEye;Acuvue;28;5.5
1-Day Acuvue TrueEye;Acuvue;28;5
1-Day Acuvue TrueEye;Acuvue;28;4.5
1-Day Acuvue TrueEye;Acuvue;28;4
1-Day Acuvue TrueEye;Acuvue;2;3.5
1-Day Acuvue TrueEye;Acuvue;82;3
1-Day Acuvue TrueEye;Acuvue;2;2.5
1-Day Acuvue TrueEye;Acuvue;8;2
1-Day Acuvue TrueEye;Acuvue;28;1.5
1-Day Acuvue TrueEye;Acuvue;2;1
1-Day Acuvue TrueEye;Acuvue;23;0.5
1-Day Acuvue TrueEye;Acuvue;8;0
1-Day Acuvue TrueEye;Acuvue;2;-0.5
1-Day Acuvue TrueEye;Acuvue;82;-1
1-Day Acuvue TrueEye;Acuvue;31;-1.5
1-Day Acuvue TrueEye;Acuvue;15;-2
1-Day Acuvue TrueEye;Acuvue;2;-2.5
1-Day Acuvue TrueEye;Acuvue;21;-3
1-Day Acuvue TrueEye;Acuvue;10;-3.5
1-Day Acuvue TrueEye;Acuvue;12;-4
1-Day Acuvue TrueEye;Acuvue;32;-4.5
1-Day Acuvue TrueEye;Acuvue;14;-5
1-Day Acuvue TrueEye;Acuvue;25;-5.5
1-Day Acuvue TrueEye;Acuvue;23;-6
1-Day Acuvue TrueEye;Acuvue;12;-6.5
1-Day Acuvue TrueEye;Acuvue;21;-7
1-Day Acuvue TrueEye;Acuvue;21;-7.5
1-Day Acuvue TrueEye;Acuvue;15;-8
Bio true OneDay;Biotrue;10;8
Bio true OneDay;Biotrue;10;7.5
Bio true OneDay;Biotrue;10;7
Bio true OneDay;Biotrue;10;6.5
Bio true OneDay;Biotrue;10;6
Bio true OneDay;Biotrue;10;5.5
Bio true OneDay;Biotrue;10;5
Bio true OneDay;Biotrue;10;4.5
Bio true OneDay;Biotrue;10;4
Bio true OneDay;Biotrue;10;3.5
Bio true OneDay;Biotrue;10;3
Bio true OneDay;Biotrue;10;2.5
Bio true OneDay;Biotrue;10;2
Bio true OneDay;Biotrue;10;1.5
Bio true OneDay;Biotrue;10;1
Bio true OneDay;Biotrue;10;0.5
Bio true OneDay;Biotrue;10;0
Bio true OneDay;Biotrue;10;-0.5
Bio true OneDay;Biotrue;10;-1
Bio true OneDay;Biotrue;10;-1.5
Bio true OneDay;Biotrue;10;-2
Bio true OneDay;Biotrue;10;-2.5
Bio true OneDay;Biotrue;10;-3
Bio true OneDay;Biotrue;10;-3.5
Bio true OneDay;Biotrue;10;-4
Bio true OneDay;Biotrue;10;-4.5
Bio true OneDay;Biotrue;10;-5
Bio true OneDay;Biotrue;10;-5.5
Bio true OneDay;Biotrue;10;-6
Bio true OneDay;Biotrue;10;-6.5
Bio true OneDay;Biotrue;10;-7
Bio true OneDay;Biotrue;10;-7.5
Bio true OneDay;Biotrue;10;-8
Bio true OneDay;Biotrue;10;8
Bio true OneDay;Biotrue;10;7.5
Bio true OneDay;Biotrue;10;7
Bio true OneDay;Biotrue;10;6.5
Bio true OneDay;Biotrue;10;6
Bio true OneDay;Biotrue;10;5.5
Bio true OneDay;Biotrue;10;5
Bio true OneDay;Biotrue;10;4.5
Bio true OneDay;Biotrue;10;4
Bio true OneDay;Biotrue;10;3.5
Bio true OneDay;Biotrue;10;3
Bio true OneDay;Biotrue;10;2.5
Bio true OneDay;Biotrue;10;2
Bio true OneDay;Biotrue;10;1.5
Bio true OneDay;Biotrue;10;1
Bio true OneDay;Biotrue;10;0.5
Bio true OneDay;Biotrue;10;0
Bio true OneDay;Biotrue;10;-0.5
Bio true OneDay;Biotrue;10;-1
Bio true OneDay;Biotrue;10;-1.5
Bio true OneDay;Biotrue;10;-2
Bio true OneDay;Biotrue;10;-2.5
Bio true OneDay;Biotrue;10;-3
Bio true OneDay;Biotrue;10;-3.5
Bio true OneDay;Biotrue;10;-4
Bio true OneDay;Biotrue;10;-4.5
Bio true OneDay;Biotrue;10;-5
Bio true OneDay;Biotrue;10;-5.5
Bio true OneDay;Biotrue;10;-6
Bio true OneDay;Biotrue;10;-6.5
Bio true OneDay;Biotrue;10;-7
Bio true OneDay;Biotrue;10;-7.5
Bio true OneDay;Biotrue;10;-8
Frequency 1 Day Toric;Frequency;10;8
Frequency 1 Day Toric;Frequency;10;7.5
Frequency 1 Day Toric;Frequency;10;7
Frequency 1 Day Toric;Frequency;10;6.5
Frequency 1 Day Toric;Frequency;10;6
Frequency 1 Day Toric;Frequency;10;5.5
Frequency 1 Day Toric;Frequency;10;5
Frequency 1 Day Toric;Frequency;10;4.5
Frequency 1 Day Toric;Frequency;10;4
Frequency 1 Day Toric;Frequency;10;3.5
Frequency 1 Day Toric;Frequency;10;3
Frequency 1 Day Toric;Frequency;10;2.5
Frequency 1 Day Toric;Frequency;10;2
Frequency 1 Day Toric;Frequency;10;1.5
Frequency 1 Day Toric;Frequency;10;1
Frequency 1 Day Toric;Frequency;10;0.5
Frequency 1 Day Toric;Frequency;10;0
Frequency 1 Day Toric;Frequency;10;-0.5
Frequency 1 Day Toric;Frequency;10;-1
Frequency 1 Day Toric;Frequency;10;-1.5
Frequency 1 Day Toric;Frequency;10;-2
Frequency 1 Day Toric;Frequency;10;-2.5
Frequency 1 Day Toric;Frequency;10;-3
Frequency 1 Day Toric;Frequency;10;-3.5
Frequency 1 Day Toric;Frequency;10;-4
Frequency 1 Day Toric;Frequency;10;-4.5
Frequency 1 Day Toric;Frequency;10;-5
Frequency 1 Day Toric;Frequency;10;-5.5
Frequency 1 Day Toric;Frequency;10;-6
Frequency 1 Day Toric;Frequency;10;-6.5
Frequency 1 Day Toric;Frequency;10;-7
Frequency 1 Day Toric;Frequency;10;-7.5
Frequency 1 Day Toric;Frequency;10;-8
Frequency 1 Day Toric;Frequency;10;8
Frequency 1 Day Toric;Frequency;10;7.5
Frequency 1 Day Toric;Frequency;10;7
Frequency 1 Day Toric;Frequency;10;6.5
Frequency 1 Day Toric;Frequency;10;6
Frequency 1 Day Toric;Frequency;10;5.5
Frequency 1 Day Toric;Frequency;10;5
Frequency 1 Day Toric;Frequency;10;4.5
Frequency 1 Day Toric;Frequency;10;4
Frequency 1 Day Toric;Frequency;10;3.5
Frequency 1 Day Toric;Frequency;10;3
Frequency 1 Day Toric;Frequency;10;2.5
Frequency 1 Day Toric;Frequency;10;2
Frequency 1 Day Toric;Frequency;10;1.5
Frequency 1 Day Toric;Frequency;10;1
Frequency 1 Day Toric;Frequency;10;0.5
Frequency 1 Day Toric;Frequency;10;0
Frequency 1 Day Toric;Frequency;10;-0.5
Frequency 1 Day Toric;Frequency;10;-1
Frequency 1 Day Toric;Frequency;10;-1.5
Frequency 1 Day Toric;Frequency;10;-2
Frequency 1 Day Toric;Frequency;10;-2.5
Frequency 1 Day Toric;Frequency;10;-3
Frequency 1 Day Toric;Frequency;10;-3.5
Frequency 1 Day Toric;Frequency;10;-4
Frequency 1 Day Toric;Frequency;10;-4.5
Frequency 1 Day Toric;Frequency;10;-5
Frequency 1 Day Toric;Frequency;10;-5.5
Frequency 1 Day Toric;Frequency;10;-6
Frequency 1 Day Toric;Frequency;10;-6.5
Frequency 1 Day Toric;Frequency;10;-7
Frequency 1 Day Toric;Frequency;10;-7.5
Frequency 1 Day Toric;Frequency;10;-8
